FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9901,Mayor,Annual,1,1,216210,216210
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,179160,179160
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9869,Senior Advisor to the Mayor,Annual,1,1,160008,160008
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,120000,120000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,107016,107016
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,106008,106008
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,90000,90000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,85002,85002
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,Correspondence,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,85512,85512
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,63864,63864
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,Correspondence,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,51504,51504
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,120000,120000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,70404,70404
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9876,Scheduler,Annual,1,1,57792,57792
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9870,Advance,Annual,1,1,52536,52536
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,Scheduling and Advance,0,,1 00,9,9870,Advance,Annual,1,1,51504,51504
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9899,Chief of Staff,Annual,1,1,195000,195000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,107112,107112
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,180000,180000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,89304,89304
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,83796,83796
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,65976,65976
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,61800,61800
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,58752,58752
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,58728,58728
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,57792,57792
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,53568,53568
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,122016,122016
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9854,Communications Director,Annual,1,1,165000,165000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,120348,120348
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,94560,94560
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,90000,90000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,80016,80016
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,120000,120000
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,0925,Photographer,Annual,1,1,82008,82008
Local,1,MO,0100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,0740,Press Aide,Annual,1,1,75000,75000
