id,section_code,section_description
0,3005,Executive
1,3006,Correspondence
2,3007,Scheduling and Advance
3,3010,Administrative
4,3015,Office of the Press Secretary
5,3100,Office of the Chief Financial Officer
6,3105,Office of Community Engagement
7,3110,Office of Infrastructure and Services
8,3115,Office of Education and Human Services
9,3120,Office of Intergovernmental Affairs
10,3125,Office of Risk Management
11,3130,Office of Equity and Racial Justice
12,3135,Office of Neighborhood and Economic Development
13,3140,Office of Public Safety
14,3145,Office of Policy
15,3010,Operations
16,3015,Legal
17,3020,Investigations
18,3027,Audit and Program Review
19,3032,Public Safety Audit
20,3040,Diversity  Equity  Inclusion  and Compliance
21,3005,Administration
22,3050,Revenue and Expenditure Analysis
23,3055,Management Initiatives
24,3060,Compensation Control
25,3063,Applications
26,3065,Capital / Motor Fuel Tax Administration
27,3070,Data Analytics
28,3005,City Council
29,3012,Council Office of Financial Analysis
30,3030,Administration
31,3040,Homeownership Programs
32,3045,Construction and Compliance
33,3010,Index Division
34,3015,City Council Research and Record Service
35,3001,Office of the City Comptroller
36,3002,Internal Audit
37,3003,Contract Review and Audit
38,3009,Financial Systems Support
39,3011,Fiscal Administration
40,3012,Personnel
41,3018,Administration
42,3019,Accounting and Financial Reporting
43,3041,Grant and Project Accounting
44,3014,Administration
45,3016,Financial Strategy
46,3017,Financial Operations
47,3100,Administration
48,3154,Payment Processing
49,3156,Tax Policy and Administration
50,3157,Street Operations
51,3220,Accounts Receivable
52,3015,Financial Reporting
53,3020,Administration
54,3005,Office of the Director
55,3010,Finance and Administration
56,3015,Operational Services
57,3006,Administration
58,3007,Appeals
59,3011,Building and License Enforcement
60,3014,Constitutional and Commercial Litigation
61,3019,Torts
62,3022,Employment Litigation
63,3023,Affirmative Litigation
64,3028,Labor
65,3031,Legal Counsel
66,3038,Aviation  Environmental and Regulatory Litigation
67,3039,Investigations and Prosecutions
68,3045,Real Estate
69,3046,Revenue Litigation
70,3049,Collections  Ownership and Administrative Litigation
71,3125,Federal Civil Rights Litigation
72,3144,Finance and Economic Development
73,3015,Workforce Compliance
74,3026,Information Services
75,3035,Testing Services
76,3040,Employment Services  Hiring and Compensation
77,3620,Employment Services  Hiring and Compensation
78,3006,Departmental Administration
79,3012,Contract Management
80,3022,Certification and Compliance
81,3001,Office of the Commissioner
82,3110,Finance and Administration
83,3111,Human Resources
84,3112,Systems and Performance Improvement
85,3101,Facilities Management
86,3102,Architecture and Construction
87,3106,Graphics Services
88,3107,Energy Services
89,3108,Document Retention
90,3115,Environmental Health and Safety
91,3231,Leasing / Real Estate Portfolio Management
92,3200,Fleet Administration
93,3201,Equipment Project Management
94,3214,Fuel Services
95,3216,Accidents and Assessments
96,3219,Fleet Maintenance Operations
97,3220,Road Services
98,3226,CPD Motor Maintenance
99,3300,Chief Technology Office
100,3305,IT Finance and Administration
101,3310,IT Project Management
102,3320,IT Enterprise Applications
103,3350,IT Technical Operations
104,3360,IT Network and Telecommunications
105,3370,IT Data Center Operations
106,3375,IT Information Security Office
107,3380,IT Data Science Office
108,3385,IT Software Development
109,3395,IT Design
110,3015,Electronic Voting Systems
111,3020,Election Support
112,3025,Voting Machine Equipment  Ballot Preparation and Supplies
113,3041,Community Services and Deputy Registrars
114,3051,Voter Records and Data Processing
115,3005,Commissioner's Office
116,3006,Public Information
117,3007,Community Engagement
118,3008,Epidemiology
119,3010,Fiscal Administration
120,3015,Human Resources
121,3020,Grants Development  Policy and Planning
122,3028,Contract and Compliance
123,3035,Information Technology and Informatics
124,3036,Chronic Disease
125,3044,Behavioral Health
126,3055,Public Health Nursing Services
127,3215,Mental Health Administration
128,3052,Environmental Permitting and Inspections
129,3330,Food Sanitation
130,3331,Tuberculosis Control
131,3332,Adolescent and School Health
132,3352,STI Prevention and Control
133,3380,Communicable Disease Control
134,3005,Promoting Human Relations
135,3007,Administration
136,3009,Advisory Council on Equity
137,3005,Executive Administration
138,3020,Support Services
139,3030,Employment
140,3040,Accessibility Compliance
141,3060,Public Policy and Public Affairs
142,3001,Executive Office
143,3006,Fiscal Administration
144,3008,Contracts and Compliance
145,3009,Grant Development  Policy and Planning
146,3025,Youth Programming
147,3030,Homeless Services
148,3035,Fiscal and Programmatic Monitoring
149,3015,Personnel Management
150,3020,Information Technology
151,3035,Administration
152,3041,Economic Development
153,3088,Zoning and Land Use
154,3089,Planning  Historical Preservation  and Sustainability
155,3005,Chicago Police Board
156,3004,Office of the Superintendent
157,3021,Office of the Chief of Staff
158,3427,Bureau of Internal Affairs
159,3429,Community Policing Group
160,3437,Special Activities Section
161,3438,Compstat Group
162,3055,First Deputy Superintendent
163,3057,Office of Operations
164,3059,Areas
165,3274,Bureau of Detectives
166,3282,Youth Investigations Division
167,3287,Central Investigations Division
168,3291,Forensic Services Division
169,3294,Investigative Response Team
170,3330,Bureau of Counter-Terrorism
171,3331,Special Events Section
172,3332,Deployment Operations Section
173,3334,Public Transportation Division
174,3338,Special Functions Division
175,3339,Counter-Terrorism Division
176,3423,Criminal Network Group
177,3350,Office of Constitutional Policing and Reform
178,3351,Court Section
179,3352,Alternate Response Section
180,3355,Administrative Support Division
181,3358,Training and Support
182,3360,Audit Division
183,3614,Reform Management Group
184,3616,Research and Development
185,3005,Office of the Executive Director
186,3020,Administrative Services
187,3045,Non-Emergency Services
188,3050,City Operations
189,3100,Departmental Administration
