id,fund_type,department_code,fund_code,organization_code,organization_description,division_code,division_description,section_code,sub_section_code,sub_section_description,schedule_grade,bargaining_unit,title_code,budgeted_unit,position_control,budgeted_pay_rate,total_budgeted_amount,total_budgeted_unit_people,total_budgeted_unit_time
0,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,9,9901,Annual,1,216210,216210,1.0,
1,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,9,9869,Annual,1,179160,179160,1.0,
2,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,9,9869,Annual,1,160008,160008,1.0,
3,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,9,9639,Annual,1,120000,120000,1.0,
4,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,9,9639,Annual,1,107016,107016,1.0,
5,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,0,9637,Annual,1,106008,106008,1.0,
6,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,0,9637,Annual,1,90000,90000,1.0,
7,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3005,0,,1 00,0,9637,Annual,1,85002,85002,1.0,
8,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,0,,1 00,9,9874,Annual,1,85512,85512,1.0,
9,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,0,,1 00,0,9637,Annual,1,63864,63864,1.0,
10,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3006,0,,1 00,0,9637,Annual,1,51504,51504,1.0,
11,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9877,Annual,1,120000,120000,1.0,
12,Local,1,0100,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3007,0,,1 00,9,9876,Annual,1,70404,70404,1.0,
